Arquivo;ferramenta;true_positive;false_positive;true_negative;false_negative
scada-smod-read-holding-register.csv;snort-win;98.75;6.55;93.45;1.25
scada-smod-read-input-register.csv;iptables;99.56;6.2;93.8;0.44
scada-smod-read-input-register.csv;snort-lin;0.0;0.0;100.0;100.0
scada-smod-read-input-register.csv;snort-win;98.49;6.27;93.73;1.51
scada-smod-scanner-uid.csv;iptables;0.0;11.38;88.62;100.0
scada-smod-scanner-uid.csv;snort-lin;0.0;0.0;100.0;100.0
scada-smod-scanner-uid.csv;snort-win;6.79;11.59;88.41;93.21
scada-smod-write-single-coils.csv;iptables;95.7;6.01;93.99;4.3
scada-smod-write-single-coils.csv;snort-lin;0.0;0.0;100.0;100.0
scada-smod-write-single-coils.csv;snort-win;0.0;6.15;93.85;100.0
scada-smod-write-single-register.csv;iptables;90.62;7.35;92.65;9.38
scada-smod-write-single-register.csv;snort-lin;0.0;0.0;100.0;100.0
scada-smod-write-single-register.csv;snort-win;0.0;7.57;92.43;100.0
